iter	Logloss
0	0.6878935275
1	0.6866173189
2	0.6859675963
3	0.6851756237
4	0.6847649592
5	0.6843580492
6	0.6843053342
7	0.6840379446
8	0.683385029
9	0.6833008876
10	0.6828935967
11	0.6825560394
12	0.6818466458
13	0.6812719785
14	0.6808287861
15	0.6803012554
16	0.6800877389
17	0.6797286349
18	0.6793483587
19	0.6788150484
20	0.6785827358
21	0.6783616514
22	0.6779596943
23	0.6777195181
24	0.6773953369
25	0.6772923264
26	0.6771973885
27	0.6769745388
28	0.6767950183
29	0.6765389811
30	0.6763326716
31	0.6761621397
32	0.6760529655
33	0.6757661499
34	0.6754327034
35	0.6753428084
36	0.6751964498
37	0.674752206
38	0.6744314254
39	0.6742163926
40	0.6737518272
41	0.6733507329
42	0.6729510492
43	0.6727194015
44	0.672545963
45	0.6721893367
46	0.6718897609
47	0.6713846472
48	0.6713427629
49	0.6711407243
50	0.6710369973
51	0.6709067587
52	0.6707870948
53	0.6704873953
54	0.6702505292
55	0.6700726466
56	0.6696008943
57	0.6694780107
58	0.6692504335
59	0.6691177929
60	0.6690303821
61	0.6687034242
62	0.6685045392
63	0.668317177
64	0.6682000954
65	0.6678582664
66	0.6677334452
67	0.6676698984
68	0.6674629664
69	0.6673058435
70	0.667178369
71	0.666900242
72	0.6667175579
73	0.6664915224
74	0.6663437585
75	0.6661720807
76	0.6658587434
77	0.6656453361
78	0.6652499367
79	0.6651278468
80	0.6648202318
81	0.6646880736
82	0.6644336384
83	0.6642906683
84	0.6642278218
85	0.6639005447
86	0.6635986043
87	0.6635056977
88	0.6633629902
89	0.663288428
90	0.6629570307
91	0.6629267145
92	0.6627957068
93	0.6626810653
94	0.6625845523
95	0.6622931107
96	0.6619824863
97	0.6617417785
98	0.6615117038
99	0.6611880435
100	0.660947575
101	0.6608217351
102	0.6607647319
103	0.6605123578
104	0.6605019449
105	0.6603719728
106	0.6601319146
107	0.6599993594
108	0.6597563561
109	0.6596852149
110	0.6595930355
111	0.659482105
112	0.6591958254
113	0.6589768766
114	0.6587749877
115	0.658588475
116	0.6583106071
117	0.6582457244
118	0.658064858
119	0.6578068561
120	0.6576546207
121	0.6575686236
122	0.6575531184
123	0.6574869054
124	0.6573346688
125	0.6572076971
126	0.6571695285
127	0.657093604
128	0.6570254966
129	0.6569205643
130	0.6568581338
131	0.6568237469
132	0.656743516
133	0.6565977708
134	0.6563186019
135	0.656249477
136	0.6561083053
137	0.6559451855
138	0.6557928602
139	0.655327969
140	0.655143426
141	0.6550304612
142	0.6548516989
143	0.6547962459
144	0.6545685107
145	0.6545146901
146	0.654504103
147	0.6544355266
148	0.6543717811
149	0.6542681721
150	0.6541255002
151	0.6540843944
152	0.6539878148
153	0.6539400512
154	0.6538336189
155	0.6536722584
156	0.6536532672
157	0.6534196316
158	0.6533708793
159	0.653250992
160	0.6531732119
161	0.6530550263
162	0.6529880534
163	0.652778294
164	0.6526175553
165	0.6523467738
166	0.6522406498
167	0.6521218386
168	0.6519366333
169	0.6517001797
170	0.6516065736
171	0.6515203107
172	0.6513736976
173	0.6512691283
174	0.6511986263
175	0.651145868
176	0.650866116
177	0.6508315123
178	0.6507893126
179	0.6506742898
180	0.6506131112
181	0.6504995764
182	0.650424873
183	0.6503878454
184	0.6502621126
185	0.6502034984
186	0.6501609371
187	0.6500509084
188	0.6499691789
189	0.6498739328
190	0.6498059289
191	0.6497602411
192	0.649708525
193	0.6496633432
194	0.6496341344
195	0.6495391421
196	0.6494616969
197	0.6494370843
198	0.6493554098
199	0.6491605987
